name;worker;source_lang;target_lang;reference;bleu;sacrebleu
25_folkstyle;cs-CZ;en;cs;TTcs1;10.494;13.134
25_folkstyle;cs-CZ;en;cs;TTcs2;11.738;13.352
39_total-regal;rb-EU_fromEN-en_to_41;en;cs;TTcs1;3.988;3.554
39_total-regal;rb-EU_fromEN-en_to_41;en;de;TTde;5.57;9.83
39_total-regal;rb-EU_fromEN-en_to_41;en;cs;TTcs2;3.325;4.485
39_total-regal;cs-CZ;en;cs;TTcs1;3.894;6.899
39_total-regal;cs-CZ;en;cs;TTcs2;5.721;10.898
36_step-house;rb-EU_fromEN-en_to_41;en;cs;TTcs2;7.207;9.145
36_step-house;rb-EU_fromEN-en_to_41;en;de;TTde;13.599;18.309
36_step-house;rb-EU_fromEN-en_to_41;en;cs;TTcs1;11.881;14.112
36_step-house;cs-CZ;en;cs;TTcs2;7.857;10.715
36_step-house;cs-CZ;en;cs;TTcs1;13.023;15.667
26_tabacco-shop;rb-EU_fromEN-en_to_41;en;cs;TTcs2;6.497;8.583
26_tabacco-shop;rb-EU_fromEN-en_to_41;en;cs;TTcs1;7.919;9.717
26_tabacco-shop;rb-EU_fromEN-en_to_41;en;de;TTde;14.207;20.677
26_tabacco-shop;cs-CZ;en;cs;TTcs2;8.516;11.232
26_tabacco-shop;cs-CZ;en;cs;TTcs1;9.809;11.967
30_appolonas;rb-EU_fromEN-en_to_41;en;cs;TTcs1;5.514;3.517
30_appolonas;rb-EU_fromEN-en_to_41;en;cs;TTcs2;5.15;4.558
30_appolonas;rb-EU_fromEN-en_to_41;en;de;TTde;11.699;15.161
30_appolonas;cs-CZ;en;cs;TTcs1;4.544;5.121
30_appolonas;cs-CZ;en;cs;TTcs2;4.758;7.098
17_tf-smart-team;rb-EU_fromEN-en_to_41;en;de;TTde;7.101;10.968
17_tf-smart-team;rb-EU_fromEN-en_to_41;en;cs;TTcs2;4.321;5.284
17_tf-smart-team;rb-EU_fromEN-en_to_41;en;cs;TTcs1;3.969;4.378
17_tf-smart-team;cs-CZ;en;cs;TTcs2;4.549;9.917
17_tf-smart-team;cs-CZ;en;cs;TTcs1;3.832;7.873
31_devil-chocolate;rb-EU_fromEN-en_to_41;en;de;TTde;9.689;15.099
31_devil-chocolate;rb-EU_fromEN-en_to_41;en;cs;TTcs1;5.42;7.835
31_devil-chocolate;rb-EU_fromEN-en_to_41;en;cs;TTcs2;6.315;9.937
31_devil-chocolate;cs-CZ;en;cs;TTcs1;8.505;13.032
31_devil-chocolate;cs-CZ;en;cs;TTcs2;8.056;13.069
03_botel-proti-proudu;rb-EU_fromEN-en_to_41;en;de;TTde;6.251;11.341
03_botel-proti-proudu;rb-EU_fromEN-en_to_41;en;cs;TTcs2;3.953;6.729
03_botel-proti-proudu;rb-EU_fromEN-en_to_41;en;cs;TTcs1;5.197;9.472
03_botel-proti-proudu;cs-CZ;en;cs;TTcs2;4.596;7.221
03_botel-proti-proudu;cs-CZ;en;cs;TTcs1;4.961;9.844
